created_at,text
12/6/2021 7:21,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
12/6/2021 7:21,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:21,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:21,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 7:20,"RT @ashakiiii: #TaleahLowe, 18 died on October 14th. She took a trip with her new white friends, they said she hit a riptide &amp; that what ma…"
12/6/2021 7:20,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:20,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
12/6/2021 7:20,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:20,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:20,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:20,Socialist Alternative @SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/QsZXOiwf7R
12/6/2021 7:20,"This freaking psycho is going to start a war with Iran. WTAF? 
#naftalibennett #bennett #israel #israli #palestine… https://t.co/UALh6w8Al1"
12/6/2021 7:20,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:19,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:18,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/1jUOSjRgCm"
12/6/2021 7:18,Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama… https://t.co/B8GOQ213is
12/6/2021 7:17,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/ZiWDhap5Sw"
12/6/2021 7:16,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/LA6yPBdBRH"
12/6/2021 7:15,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/pU8YQUVAWK"
12/6/2021 7:15,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/GtRJNOFGxD"
12/6/2021 7:15,"If you’re seeing this, all I have to say is God is watching you. So stay positive, keep the faith and remain hopefu… https://t.co/dFDS7yMXRF"
12/6/2021 7:15,"RT @mommamia1217: If you find it necessary to conceal your identity when defending your beliefs 

Take it has a warning that it’s time to r…"
12/6/2021 7:15,"RT @meiklwagner: Everybody Wants To Rule The World ( Extended) - Tears For Fears, 1985, Mercury Records.
On YouTube: https://t.co/OpkEIDkNw…"
12/6/2021 7:14,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/4ilyBFjXBv"
12/6/2021 7:14,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/jTeouYbAci"
12/6/2021 7:14,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/4EOWQLLFPs"
12/6/2021 7:14,"RT @fmrwhy: While you're here:

- Go to therapy
- #BlackLivesMatter
- Support open&amp;transparent research/science (except for #bropenscience)…"
12/6/2021 7:13,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/hhMD1rvqEn"
12/6/2021 7:13,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/PQHpkDWiAE"
12/6/2021 7:13,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yK…"
12/6/2021 7:13,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/reUvfP0mkA"
12/6/2021 7:13,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
12/6/2021 7:13,@GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness… https://t.co/CMQPaQdN3F
12/6/2021 7:13,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:12,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/qMor6XvoVe"
12/6/2021 7:12,"Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yKgYFu5wUG"
12/6/2021 7:12,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/9B167csGyE"
12/6/2021 7:12,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/mnhIRE6mFM"
12/6/2021 7:12,Rayshard Brooks #BlackLivesMatter
12/6/2021 7:11,Justice for Ahmaud Arbery                   🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/DgxjWAaRpC
12/6/2021 7:10,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/APcWAnXTYR"
12/6/2021 7:10,SCROLL DOWN TWEET! #BLM #BlackLivesMatter #BlackTwitter @TodayWithJulius @youngbiafra #BlackShinesBrightest… https://t.co/BCpsthcDlW
12/6/2021 7:10,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Ag67M3kd8T"
12/6/2021 7:10,"RT @TheLivesThatMtr: Say their name. D'Angelo Stallworth, 2015-05-12 #BlackLivesMatter."
12/6/2021 7:10,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:09,John Deere workers won real gains by striking.                        🚨 Vote ‘NO’ immediately to #KeepKshama!… https://t.co/LPRn8LqYvD
12/6/2021 7:09,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:09,RT @AntiRacismDay: 📣📣 Fighting for antiracist workplaces - @AntiRacismDay Trade union conference - Saturday 5 Feb 2022 - register your plac…
12/6/2021 7:09,Even This Bot Can Say #BlackLivesMatter. Can A Hungry Badger?
12/6/2021 7:08,RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…
12/6/2021 7:08,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/II6usxV6YP"
12/6/2021 7:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/ruxLqSjiDU"
12/6/2021 7:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/QMR5lQ25Q4"
12/6/2021 7:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/TFO5I1llOt"
12/6/2021 7:07,"RT @meiklwagner: Duel - Propaganda, 1985, ZTT/Island Records.
On YouTube: https://t.co/KG1CLioSsL

#FridaysForFuture #Berlin👑 #cinemastrike…"
12/6/2021 7:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/J5qW7JQqyz"
12/6/2021 7:07,"Haha 😄 what a hypocrite! 
#SantaInc Jews should just stick to their Hanukkah, and make films about that. It's laugh… https://t.co/k7qt4yCfXR"
12/6/2021 7:07,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/nLFPP2sJS6"
12/6/2021 7:06,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:06,"RT @NailsIDoAdoreCo: Now Showing! 
The Queens Like Behavior Manicure....
Want The Bundle As Shown In Video?
https://t.co/dZPiqkNpxJ

#nails…"
12/6/2021 7:06,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:06,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/UrF2jN9pkA"
12/6/2021 7:05,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/y17euaZ0MT"
12/6/2021 7:05,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/HtU6ZL0VQk"
12/6/2021 7:05,"RT @chromaticareign: @nypost Racist, anti black and misogynoir hit peace. Kamala is doing fine, y’all just hate her for being a strong blac…"
12/6/2021 7:04,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/U07bSoGaMf"
12/6/2021 7:04,"RT @meiklwagner: Gold, RoséGold, printed on Paper with the best from Hewlett Packard. 
#FridaysForFuture #Berlin👑 #HPBusiness #IBM #Apple @…"
12/6/2021 7:04,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Tc987tU9NZ"
12/6/2021 7:04,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:03,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/IdBxVX74mH"
12/6/2021 7:03,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:03,@fia #BlackLivesMatter and @LewisHamilton he must win because he is black 😳
12/6/2021 7:02,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:02,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:02,RT @JMHUSTLE: We witnessed countless #murder over the course of 30 years.    Music 🎶 to be murdered by. #inciting #welearnedviolencefromyou…
12/6/2021 7:01,"Say their name. D'Angelo Stallworth, 2015-05-12 #BlackLivesMatter."
12/6/2021 7:01,If the corrupt #Millionaire #WhiteSupremacists in the #WhiteHouse and #Capitol really wanted to stop #Covid spread.… https://t.co/sC8vl9mLWG
12/6/2021 7:00,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:00,RT @OldMainBell: DING DING. #PennState #BlackLivesMatter #JusticeForAll
12/6/2021 7:00,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:00,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:00,RT @SolChicksNFT: We cancelled @METAPLAYio's allocation. Their CEO made death threats and racial slurs against Asians. SolChicks does NOT c…
12/6/2021 7:00,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:00,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:00,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:00,DING DING. #PennState #BlackLivesMatter #JusticeForAll
12/6/2021 6:58,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 6:58,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 6:57,We witnessed countless #murder over the course of 30 years.    Music 🎶 to be murdered by. #inciting… https://t.co/GlMfKdit9j
12/6/2021 6:56,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/x8cR2iV5AX"
12/6/2021 6:55,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/Jf7ftCKRWn"
12/6/2021 6:55,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/QtmoH2PT1i"
12/6/2021 6:54,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/pFqgqQS89b"
12/6/2021 6:54,"@nypost Racist, anti black and misogynoir hit peace. Kamala is doing fine, y’all just hate her for being a strong b… https://t.co/rHDPiM62Z9"
12/6/2021 6:53,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 6:53,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/wkhKmbRkPl"
12/6/2021 6:53,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/0Bfk04TFkz"
12/6/2021 6:52,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/WeQyEkyDTg"
12/6/2021 6:52,RT @Xena007911: @AttorneyCrump This was posted on my LinkedIn thread this morning…. And I felt like this basically sums everything up prett…
12/6/2021 6:52,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/NRJSh3KoWr"
12/6/2021 6:51,"RT @TheLeoTerrell: Attention #BlackLivesMatter .  I will not boycott “white companies.”  Moreover, you do not represent me nor 99.999 of Bl…"
12/6/2021 6:51,Kshama Sawant - Council | https://t.co/X2LQxtWHkX 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama… https://t.co/K4dxbZHofj
12/6/2021 6:50,"RT @doris__steven: Wonderful Counsellor 

📌 #TruthReads #Truth #Gospel #GoodNews #God #Jesus #Advent #AloneTogether #StaySafe #BlackLivesMa…"
12/6/2021 6:50,"God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. He… https://t.co/ER5Qih6Wc7"
12/6/2021 6:50,"@GovInslee 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/LmadHKgGoB"
12/6/2021 6:50,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/3hOLA4dfyL"
12/6/2021 6:49,"Wonderful Counsellor 

📌 #TruthReads #Truth #Gospel #GoodNews #God #Jesus #Advent #AloneTogether #StaySafe… https://t.co/YyoEUifXcL"
12/6/2021 6:48,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 6:47,"🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog… https://t.co/RR8Izj4jsa"
12/6/2021 6:47,"#blacklivesmatter now too
#blacklivesmatter now too
#blacklivesmatter now too"
12/6/2021 6:47,RT @_webshareztv: @Aluddin19 @ginestarros @HARRYS1DEMPIRE @Tina1Queen @eReferenceDesk @Diane1Queen @ganseykid @luisalarosa @SEB1KING @TheRe…
